All 20 series: 63.1% inside, 9.3% below, 27.6% above

By category          inside   below   above
  Cleaning           74.4%    5.6%   20.0%
  Facilities         65.0%    8.9%   26.1%
  Packaging          65.0%    8.3%   26.7%
  Safety             47.8%   14.4%   37.8%

By region          inside   below   above
  Midwest            59.0%    8.3%   32.6%
  Northeast          70.1%   11.1%   18.8%
  Southeast          66.0%    7.6%   26.4%
  Southwest          59.0%    6.2%   34.7%
  West               61.1%   13.2%   25.7%
