  step  training loss  validation loss
     0         1.0933           1.1013
     1         0.4946           0.4892
    10         0.2566           0.2356
   100         0.2120           0.1885
 1,000         0.1974           0.1907
 2,000         0.1925           0.1925
 3,000         0.1895           0.1948

4,355 training rows, 2,083 validation
top 40 of each cohort    leavers  precision
network                       46      19.2%
Chapter 7's model             59      24.6%
the rule                      53      22.1%
