One thread, one laptop, as the runner recorded it. A chapter
last built with --twice shows both runs, so read these as
upper bounds for running a chapter once.

chapter  listings  seconds  about
      2        17       44  under a minute
      3         7        8  under a minute
      4        15       40  under a minute
      5        15       15  under a minute
      6        15      101  2 minutes
      7        13       42  under a minute
      8        19      127  3 minutes
      9        15      191  4 minutes
     10        18      180  4 minutes
     11        15       73  2 minutes
     12        19      621  11 minutes
     13        14      210  4 minutes
     14        15      163  3 minutes
     15        15      218  4 minutes
     16        19      200  4 minutes
     17        15      326  6 minutes
     18        13      209  4 minutes
     19        18      218  4 minutes
     20        21      335  6 minutes
     21        10      216  4 minutes
     22        25      448  8 minutes
     23        12      199  4 minutes
     24        17      798  14 minutes
     25        14       89  2 minutes
     26         7        5  under a minute
     27        12      169  3 minutes
    all       395     5246  88 minutes
